userId,movieId,rating,rating_timestamp,title,genres,imdbId,tmdbId
1,1,4.0,964982703,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0
1,3,4.0,964981247,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0
1,6,4.0,964982224,Heat (1995),Action|Crime|Thriller,113277,949.0
1,47,5.0,964983815,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807.0
1,50,5.0,964982931,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0
1,70,3.0,964982400,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755.0
1,101,5.0,964980868,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685.0
1,110,4.0,964982176,Braveheart (1995),Action|Drama|War,112573,197.0
1,151,5.0,964984041,Rob Roy (1995),Action|Drama|Romance|War,114287,11780.0
1,157,5.0,964984100,Canadian Bacon (1995),Comedy|War,109370,1775.0
1,163,5.0,964983650,Desperado (1995),Action|Romance|Western,112851,8068.0
1,216,5.0,964981208,Billy Madison (1995),Comedy,112508,11017.0
1,223,3.0,964980985,Clerks (1994),Comedy,109445,2292.0
1,231,5.0,964981179,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,109686,8467.0
1,235,4.0,964980908,Ed Wood (1994),Comedy|Drama,109707,522.0
1,260,5.0,964981680,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,76759,11.0
1,296,3.0,964982967,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,110912,680.0
1,316,3.0,964982310,Stargate (1994),Action|Adventure|Sci-Fi,111282,2164.0
1,333,5.0,964981179,Tommy Boy (1995),Comedy,114694,11381.0
1,349,4.0,964982563,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,109444,9331.0
1,356,4.0,964980962,Forrest Gump (1994),Comedy|Drama|Romance|War,109830,13.0
1,362,5.0,964982588,"Jungle Book, The (1994)",Adventure|Children|Romance,110213,10714.0
1,367,4.0,964981710,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,110475,854.0
1,423,3.0,964982363,Blown Away (1994),Action|Thriller,109303,178.0
1,441,4.0,964980868,Dazed and Confused (1993),Comedy,106677,9571.0
1,457,5.0,964981909,"Fugitive, The (1993)",Thriller,106977,5503.0
1,480,4.0,964982346,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,107290,329.0
1,500,3.0,964981208,Mrs. Doubtfire (1993),Comedy|Drama,107614,788.0
1,527,5.0,964984002,Schindler's List (1993),Drama|War,108052,424.0
1,543,4.0,964981179,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,108174,10442.0
1,552,4.0,964982653,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,108333,10057.0
1,553,5.0,964984153,Tombstone (1993),Action|Drama|Western,108358,11969.0
1,590,4.0,964982546,Dances with Wolves (1990),Adventure|Drama|Western,99348,581.0
1,592,4.0,964982271,Batman (1989),Action|Crime|Thriller,96895,268.0
1,593,4.0,964983793,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,102926,274.0
1,596,5.0,964982838,Pinocchio (1940),Animation|Children|Fantasy|Musical,32910,10895.0
1,608,5.0,964982931,Fargo (1996),Comedy|Crime|Drama|Thriller,116282,275.0
1,648,3.0,964982563,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,117060,954.0
1,661,5.0,964982838,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical,116683,10539.0
1,673,3.0,964981775,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,117705,2300.0
1,733,4.0,964982400,"Rock, The (1996)",Action|Adventure|Thriller,117500,9802.0
1,736,3.0,964982653,Twister (1996),Action|Adventure|Romance|Thriller,117998,664.0
1,780,3.0,964984086,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,116629,602.0
1,804,4.0,964980499,She's the One (1996),Comedy|Romance,117628,11363.0
1,919,5.0,964982475,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,32138,630.0
1,923,5.0,964981529,Citizen Kane (1941),Drama|Mystery,33467,15.0
1,940,5.0,964982176,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,29843,10907.0
1,943,4.0,964983614,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance,39420,22292.0
1,954,5.0,964983219,Mr. Smith Goes to Washington (1939),Drama,31679,3083.0
1,1009,3.0,964981775,Escape to Witch Mountain (1975),Adventure|Children|Fantasy,72951,14821.0
1,1023,5.0,964982681,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical,63819,81310.0
1,1024,5.0,964982876,"Three Caballeros, The (1945)",Animation|Children|Musical,38166,15947.0
1,1025,5.0,964982791,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical,57546,9078.0
1,1029,5.0,964982855,Dumbo (1941),Animation|Children|Drama|Musical,33563,11360.0
1,1030,3.0,964982903,Pete's Dragon (1977),Adventure|Animation|Children|Musical,76538,11114.0
1,1031,5.0,964982653,Bedknobs and Broomsticks (1971),Adventure|Children|Musical,66817,12335.0
1,1032,5.0,964982791,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical,43274,12092.0
1,1042,4.0,964981179,That Thing You Do! (1996),Comedy|Drama,117887,9591.0
1,1049,5.0,964982400,"Ghost and the Darkness, The (1996)",Action|Adventure,116409,10586.0
1,1060,4.0,964980924,Swingers (1996),Comedy|Drama,117802,10218.0
1,1073,5.0,964981680,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,67992,252.0
1,1080,5.0,964981327,Monty Python's Life of Brian (1979),Comedy,79470,583.0
1,1089,5.0,964982951,Reservoir Dogs (1992),Crime|Mystery|Thriller,105236,500.0
1,1090,4.0,964984018,Platoon (1986),Drama|War,91763,792.0
1,1092,5.0,964983484,Basic Instinct (1992),Crime|Mystery|Thriller,103772,402.0
1,1097,5.0,964981680,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,83866,601.0
1,1127,4.0,964982513,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,96754,2756.0
1,1136,5.0,964981327,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,71853,762.0
1,1196,5.0,964981827,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,80684,1891.0
1,1197,5.0,964981872,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,93779,2493.0
1,1198,5.0,964981827,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,82971,85.0
1,1206,5.0,964983737,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,66921,185.0
1,1208,4.0,964983250,Apocalypse Now (1979),Action|Drama|War,78788,28.0
1,1210,5.0,964980499,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,86190,1892.0
1,1213,5.0,964982951,Goodfellas (1990),Crime|Drama,99685,769.0
1,1214,4.0,964981855,Alien (1979),Horror|Sci-Fi,78748,348.0
1,1219,2.0,964983393,Psycho (1960),Crime|Horror,54215,539.0
1,1220,5.0,964981909,"Blues Brothers, The (1980)",Action|Comedy|Musical,80455,525.0
1,1222,5.0,964981909,Full Metal Jacket (1987),Drama|War,93058,600.0
1,1224,5.0,964984018,Henry V (1989),Action|Drama|Romance|War,97499,10705.0
1,1226,5.0,964983618,"Quiet Man, The (1952)",Drama|Romance,45061,3109.0
1,1240,5.0,964983723,"Terminator, The (1984)",Action|Sci-Fi|Thriller,88247,218.0
1,1256,5.0,964981442,Duck Soup (1933),Comedy|Musical|War,23969,3063.0
1,1258,3.0,964983414,"Shining, The (1980)",Horror,81505,694.0
1,1265,4.0,964983599,Groundhog Day (1993),Comedy|Fantasy|Romance,107048,137.0
1,1270,5.0,964983705,Back to the Future (1985),Adventure|Comedy|Sci-Fi,88763,105.0
1,1275,5.0,964982290,Highlander (1986),Action|Adventure|Fantasy,91203,8009.0
1,1278,5.0,964983414,Young Frankenstein (1974),Comedy|Fantasy,72431,3034.0
1,1282,5.0,964982703,Fantasia (1940),Animation|Children|Fantasy|Musical,32455,756.0
1,1291,5.0,964981909,Indiana Jones and the Last Crusade (1989),Action|Adventure,97576,89.0
1,1298,5.0,964984086,Pink Floyd: The Wall (1982),Drama|Musical,84503,12104.0
1,1348,4.0,964983393,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror,13442,653.0
1,1377,3.0,964982653,Batman Returns (1992),Action|Crime,103776,364.0
1,1396,3.0,964983017,Sneakers (1992),Action|Comedy|Crime|Drama|Sci-Fi,105435,2322.0
1,1408,3.0,964982310,"Last of the Mohicans, The (1992)",Action|Romance|War|Western,104691,9361.0
1,1445,3.0,964984112,McHale's Navy (1997),Comedy|War,119640,14908.0
1,1473,4.0,964980875,Best Men (1997),Action|Comedy|Crime|Drama,118702,19952.0
1,1500,4.0,964980985,Grosse Pointe Blank (1997),Comedy|Crime|Romance,119229,9434.0
1,1517,5.0,964981107,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy,118655,816.0
1,1552,4.0,964982620,Con Air (1997),Action|Adventure|Thriller,118880,1701.0
1,1573,5.0,964982290,Face/Off (1997),Action|Crime|Drama|Thriller,119094,754.0
1,1580,3.0,964981125,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi,119654,607.0
1,1587,5.0,964982346,Conan the Barbarian (1982),Action|Adventure|Fantasy,82198,9387.0
1,1617,5.0,964982951,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,119488,2118.0
